1|1|2|1|0|2025-10-30 06:29:43|NULL|2025-10-31 06:29:43|1
2|2|3|2|0|2025-10-29 06:29:43|NULL|2025-10-31 06:29:43|1
3|3|1|1|0|2025-10-28 06:29:43|NULL|2025-10-31 06:29:43|1
4|4|4|3|0|2025-10-27 06:29:43|NULL|2025-10-31 06:29:43|1
5|5|5|1|0|2025-10-26 06:29:43|NULL|2025-10-31 06:29:43|1
6|6|1|1|1|2025-10-25 06:29:54|2025-10-28 06:29:54|2025-10-31 06:29:54|1
7|7|3|2|1|2025-10-23 06:29:54|2025-10-30 06:29:54|2025-10-31 06:29:54|1
8|8|2|1|1|2025-10-21 06:29:54|2025-10-25 06:29:54|2025-10-31 06:29:54|1
9|9|4|1|1|2025-10-19 06:29:54|2025-10-25 06:29:54|2025-10-31 06:29:54|1
10|10|5|3|1|2025-10-16 06:29:54|2025-10-26 06:29:54|2025-10-31 06:29:54|1
